Experiment_ID,Benchmark_ID,00_Distribution,00_Error,00_Integrity,00_SIS,01_Distribution,01_Error,01_Integrity,01_SIS,02_Distribution,02_Error,02_Integrity,02_SIS,03_Distribution,03_Error,03_Integrity,03_SIS,04_Distribution,04_Error,04_Integrity,04_SIS,05_Distribution,05_Error,05_Integrity,05_SIS,06_Distribution,06_Error,06_Integrity,06_SIS,07_Distribution,07_Error,07_Integrity,07_SIS,08_Distribution,08_Error,08_Integrity,08_SIS,09_Distribution,09_Error,09_Integrity,09_SIS,10_Distribution,10_Error,10_Integrity,10_SIS,11_Distribution,11_Error,11_Integrity,11_SIS,12_Distribution,12_Error,12_Integrity,12_SIS,13_Distribution,13_Error,13_Integrity,13_SIS,14_Distribution,14_Error,14_Integrity,14_SIS,15_Distribution,15_Error,15_Integrity,15_SIS,Error,Time,best_fuzz,best_sis,?Solved
286,spider-manufactory_1-0018.txt,"50,50",,Valid,0.0,"50,50",,Valid,0.0,"50,50",,Valid,0.0,"50,50",,Valid,0.0,"50,50",,Valid,0.0,100,,Valid,50.0,100,,Valid,50.0,"50,50",,Valid,0.0,"50,50",,Valid,0.0,"50,50",,Valid,0.0,"50,50",,Valid,0.0,"50,50",,Valid,0.0,100,,Valid,50.0,"50,50",,Valid,0.0,"50,50",,Valid,0.0,100,,Valid,50.0,,8.94,0.0,0.0,True
287,spider-manufactory_1-0018.txt,100,,Valid,50.0,100,,Valid,50.0,100,,Valid,50.0,100,,Valid,50.0,100,,Valid,50.0,100,,Valid,50.0,"50,50",,Valid,0.0,100,,Valid,50.0,100,,Valid,50.0,100,,Valid,50.0,100,,Valid,50.0,100,,Valid,50.0,100,,Valid,50.0,100,,Valid,50.0,100,,Valid,50.0,100,,Valid,50.0,,10.16,6.0,0.0,True
288,spider_bak-climbing-0011.txt,"50,50",,Valid,0.0,"50,50",,Valid,0.0,"50,50",,Valid,0.0,"50,50",,Valid,0.0,"50,50",,Valid,0.0,"50,50",,Valid,0.0,"50,50",,Valid,0.0,"50,50",,Valid,0.0,"50,50",,Valid,0.0,"50,50",,Valid,0.0,100,,Valid,50.0,"50,50",,Valid,0.0,"50,50",,Valid,0.0,"50,50",,Valid,0.0,"50,50",,Valid,0.0,100,,Valid,50.0,,8.95,0.0,0.0,True
289,spider_bak-climbing-0011.txt,"50,50",,Valid,0.0,"50,50",,Valid,0.0,"50,50",,Valid,0.0,"50,50",,Valid,0.0,"50,50",,Valid,0.0,100,,Valid,50.0,"50,50",,Valid,0.0,"50,50",,Valid,0.0,100,,Valid,50.0,"50,50",,Valid,0.0,"50,50",,Valid,0.0,100,,Valid,50.0,100,,Valid,50.0,100,,Valid,50.0,100,,Valid,50.0,100,,Valid,50.0,,11.01,0.0,0.0,True
290,spider_bak-climbing-0011.txt,"50,50",,Valid,0.0,100,,Valid,50.0,"50,50",,Valid,0.0,100,,Valid,50.0,"50,50",,Valid,0.0,100,,Valid,50.0,100,,Valid,50.0,100,,Valid,50.0,"50,50",,Valid,0.0,100,,Valid,50.0,100,,Valid,50.0,100,,Valid,50.0,100,,Valid,50.0,100,,Valid,50.0,100,,Valid,50.0,100,,Valid,50.0,,10.87,0.0,0.0,True
291,db2csv-orchestra-0025_dev.txt,100,,Valid,50.0,100,,Valid,50.0,100,,Valid,50.0,"52,48",,Valid,2.0,100,,Valid,50.0,100,,Valid,50.0,"50,48,2",,Valid,27.736858750286295,"52,48",,Valid,2.0,"50,48,2",,Valid,27.736858750286295,"50,50",,Valid,0.0,"50,50",,Valid,0.0,100,,Valid,50.0,"50,48,2",,Valid,27.736858750286295,100,,Valid,50.0,100,,Valid,50.0,"50,48,2",,Valid,27.736858750286295,,8.89,9.0,0.0,True
292,db2csv-orchestra-0025_dev.txt,100,,Valid,50.0,"50,50",,Valid,0.0,100,,Valid,50.0,"50,50",,Valid,0.0,"50,50",,Valid,0.0,100,,Valid,50.0,"50,50",,Valid,0.0,100,,Valid,50.0,100,,Valid,50.0,"50,50",,Valid,0.0,100,,Valid,50.0,"50,50",,Valid,0.0,"50,50",,Valid,0.0,100,,Valid,50.0,"50,50",,Valid,0.0,100,,Valid,50.0,,8.89,1.0,0.0,True
293,spider-soccer_2-0026.txt,"50,50",,Length constraint vi...,0.0,"50,50",,Length constraint vi...,0.0,"50,50",,Length constraint vi...,0.0,"50,50",,Length constraint vi...,0.0,"50,50",,Length constraint vi...,0.0,"50,50",,Length constraint vi...,0.0,"50,50",,Length constraint vi...,0.0,"50,50",,Length constraint vi...,0.0,100,,Length constraint vi...,50.0,"50,50",,Length constraint vi...,0.0,"50,50",,Length constraint vi...,0.0,"50,50",,Length constraint vi...,0.0,"50,50",,Length constraint vi...,0.0,"50,50",,Length constraint vi...,0.0,"50,50",,Length constraint vi...,0.0,"50,50",,Length constraint vi...,0.0,,5.69,0.0,0.0,False
294,spider-browser_web-0002.txt,100,,Valid,50.0,"50,50",,Valid,0.0,"50,50",,Valid,0.0,"50,50",,Valid,0.0,"50,50",,Valid,0.0,"50,50",,Valid,0.0,"50,50",,Valid,0.0,"50,50",,Valid,0.0,"50,50",,Valid,0.0,"50,50",,Valid,0.0,100,,Valid,50.0,"50,50",,Valid,0.0,"50,50",,Valid,0.0,100,,Valid,50.0,100,,Valid,50.0,"50,50",,Valid,0.0,,4.38,1.0,0.0,True
295,spider-flight_company-0002.txt,100,,Valid,50.0,100,,Valid,50.0,100,,Valid,50.0,100,,Valid,50.0,100,,Valid,50.0,100,,Valid,50.0,"50,50",,Valid,0.0,100,,Valid,50.0,100,,Valid,50.0,100,,Valid,50.0,100,,Valid,50.0,100,,Valid,50.0,100,,Valid,50.0,100,,Valid,50.0,100,,Valid,50.0,100,,Valid,50.0,,6.4,6.0,0.0,True
296,spider_bak-college_1-0077.txt,"50,50",,Length constraint vi...,0.0,100,,Length constraint vi...,50.0,"50,50",,Length constraint vi...,0.0,100,,Length constraint vi...,50.0,100,,Length constraint vi...,50.0,100,,Length constraint vi...,50.0,"50,50",,Length constraint vi...,0.0,100,,Length constraint vi...,50.0,100,,Length constraint vi...,50.0,"50,50",,Length constraint vi...,0.0,100,,Length constraint vi...,50.0,100,,Length constraint vi...,50.0,"50,50",,Length constraint vi...,0.0,"50,50",,Length constraint vi...,0.0,"50,50",,Length constraint vi...,0.0,100,,Length constraint vi...,50.0,,8.69,0.0,0.0,False
297,spider_bak-college_1-0077.txt,"50,50",,Length constraint vi...,0.0,"50,50",,Length constraint vi...,0.0,100,,Length constraint vi...,50.0,"50,50",,Length constraint vi...,0.0,100,,Length constraint vi...,50.0,100,,Length constraint vi...,50.0,100,,Length constraint vi...,50.0,100,,Length constraint vi...,50.0,100,,Length constraint vi...,50.0,100,,Length constraint vi...,50.0,100,,Length constraint vi...,50.0,100,,Length constraint vi...,50.0,100,,Length constraint vi...,50.0,"50,50",,Length constraint vi...,0.0,"50,50",,Length constraint vi...,0.0,100,,Length constraint vi...,50.0,,7.83,0.0,0.0,False
298,spider_bak-college_1-0077.txt,100,,Length constraint vi...,50.0,"50,50",,Length constraint vi...,0.0,"50,50",,Length constraint vi...,0.0,100,,Length constraint vi...,50.0,"50,50",,Length constraint vi...,0.0,100,,Length constraint vi...,50.0,100,,Length constraint vi...,50.0,"50,50",,Length constraint vi...,0.0,100,,Length constraint vi...,50.0,100,,Length constraint vi...,50.0,"50,50",,Length constraint vi...,0.0,100,,Length constraint vi...,50.0,100,,Length constraint vi...,50.0,100,,Length constraint vi...,50.0,100,,Length constraint vi...,50.0,100,,Length constraint vi...,50.0,,7.49,1.0,0.0,False
299,spider_bak-college_1-0077.txt,100,,Length constraint vi...,50.0,100,,Length constraint vi...,50.0,100,,Length constraint vi...,50.0,100,,Length constraint vi...,50.0,100,,Length constraint vi...,50.0,100,,Length constraint vi...,50.0,"50,50",,Length constraint vi...,0.0,100,,Length constraint vi...,50.0,100,,Length constraint vi...,50.0,"50,50",,Length constraint vi...,0.0,"50,50",,Length constraint vi...,0.0,100,,Length constraint vi...,50.0,100,,Length constraint vi...,50.0,100,,Length constraint vi...,50.0,100,,Length constraint vi...,50.0,100,,Length constraint vi...,50.0,,6.64,6.0,0.0,False
300,spider_bak-college_1-0077.txt,100,,Length constraint vi...,50.0,100,,Length constraint vi...,50.0,100,,Length constraint vi...,50.0,100,,Length constraint vi...,50.0,100,,Length constraint vi...,50.0,100,,Length constraint vi...,50.0,100,,Length constraint vi...,50.0,100,,Length constraint vi...,50.0,100,,Length constraint vi...,50.0,100,,Length constraint vi...,50.0,100,,Length constraint vi...,50.0,100,,Length constraint vi...,50.0,100,,Length constraint vi...,50.0,100,,Length constraint vi...,50.0,100,,Length constraint vi...,50.0,100,,Length constraint vi...,50.0,,5.73,0.0,50.0,False
301,spider_bak-college_1-0077.txt,"50,50",,Length constraint vi...,0.0,100,,Length constraint vi...,50.0,100,,Length constraint vi...,50.0,100,,Length constraint vi...,50.0,100,,Length constraint vi...,50.0,100,,Length constraint vi...,50.0,100,,Length constraint vi...,50.0,100,,Length constraint vi...,50.0,100,,Length constraint vi...,50.0,100,,Length constraint vi...,50.0,100,,Length constraint vi...,50.0,"50,50",,Length constraint vi...,0.0,100,,Length constraint vi...,50.0,100,,Length constraint vi...,50.0,100,,Length constraint vi...,50.0,"50,50",,Length constraint vi...,0.0,,6.2,0.0,0.0,False
302,spider_bak-college_1-0077.txt,100,,Length constraint vi...,50.0,100,,Length constraint vi...,50.0,100,,Length constraint vi...,50.0,100,,Length constraint vi...,50.0,"50,50",,Length constraint vi...,0.0,100,,Length constraint vi...,50.0,100,,Length constraint vi...,50.0,100,,Length constraint vi...,50.0,100,,Length constraint vi...,50.0,100,,Length constraint vi...,50.0,100,,Length constraint vi...,50.0,100,,Length constraint vi...,50.0,100,,Length constraint vi...,50.0,100,,Length constraint vi...,50.0,100,,Length constraint vi...,50.0,100,,Length constraint vi...,50.0,,5.74,4.0,0.0,False
303,spider_bak-college_1-0077.txt,100,,Length constraint vi...,50.0,100,,Length constraint vi...,50.0,100,,Length constraint vi...,50.0,100,,Length constraint vi...,50.0,"50,50",,Length constraint vi...,0.0,100,,Length constraint vi...,50.0,100,,Length constraint vi...,50.0,"50,50",,Length constraint vi...,0.0,100,,Length constraint vi...,50.0,100,,Length constraint vi...,50.0,100,,Length constraint vi...,50.0,100,,Length constraint vi...,50.0,100,,Length constraint vi...,50.0,"50,50",,Length constraint vi...,0.0,100,,Length constraint vi...,50.0,100,,Length constraint vi...,50.0,,5.77,4.0,0.0,False
304,spider_bak-college_1-0077.txt,100,,Length constraint vi...,50.0,"50,50",,Length constraint vi...,0.0,100,,Length constraint vi...,50.0,100,,Length constraint vi...,50.0,100,,Length constraint vi...,50.0,100,,Length constraint vi...,50.0,100,,Length constraint vi...,50.0,100,,Length constraint vi...,50.0,100,,Length constraint vi...,50.0,100,,Length constraint vi...,50.0,100,,Length constraint vi...,50.0,"50,50",,Length constraint vi...,0.0,"50,50",,Length constraint vi...,0.0,100,,Length constraint vi...,50.0,"50,50",,Length constraint vi...,0.0,100,,Length constraint vi...,50.0,,5.9,1.0,0.0,False
305,spider_bak-college_1-0077.txt,100,,Length constraint vi...,50.0,"50,50",,Length constraint vi...,0.0,"50,50",,Length constraint vi...,0.0,100,,Length constraint vi...,50.0,100,,Length constraint vi...,50.0,100,,Length constraint vi...,50.0,100,,Length constraint vi...,50.0,"50,50",,Length constraint vi...,0.0,100,,Length constraint vi...,50.0,"50,50",,Length constraint vi...,0.0,100,,Length constraint vi...,50.0,100,,Length constraint vi...,50.0,100,,Length constraint vi...,50.0,100,,Length constraint vi...,50.0,"50,50",,Length constraint vi...,0.0,100,,Length constraint vi...,50.0,,6.37,1.0,0.0,False
306,spider_bak-college_1-0077.txt,100,,Length constraint vi...,50.0,"50,50",,Length constraint vi...,0.0,100,,Length constraint vi...,50.0,100,,Length constraint vi...,50.0,100,,Length constraint vi...,50.0,100,,Length constraint vi...,50.0,100,,Length constraint vi...,50.0,100,,Length constraint vi...,50.0,100,,Length constraint vi...,50.0,100,,Length constraint vi...,50.0,100,,Length constraint vi...,50.0,100,,Length constraint vi...,50.0,"50,50",,Length constraint vi...,0.0,100,,Length constraint vi...,50.0,100,,Length constraint vi...,50.0,100,,Length constraint vi...,50.0,,5.96,1.0,0.0,False
307,spider_bak-college_1-0077.txt,100,,Length constraint vi...,50.0,100,,Length constraint vi...,50.0,100,,Length constraint vi...,50.0,100,,Length constraint vi...,50.0,100,,Length constraint vi...,50.0,100,,Length constraint vi...,50.0,"50,50",,Length constraint vi...,0.0,100,,Length constraint vi...,50.0,"50,50",,Length constraint vi...,0.0,100,,Length constraint vi...,50.0,100,,Length constraint vi...,50.0,100,,Length constraint vi...,50.0,100,,Length constraint vi...,50.0,100,,Length constraint vi...,50.0,100,,Length constraint vi...,50.0,100,,Length constraint vi...,50.0,,5.99,6.0,0.0,False
308,spider-soccer_2-0032.txt,"50,50",,Length constraint vi...,0.0,"50,50",,Length constraint vi...,0.0,100,,Length constraint vi...,50.0,100,,Length constraint vi...,50.0,"50,50",,Length constraint vi...,0.0,100,,Length constraint vi...,50.0,"50,50",,Length constraint vi...,0.0,100,,Length constraint vi...,50.0,"50,50",,Length constraint vi...,0.0,100,,Length constraint vi...,50.0,100,,Length constraint vi...,50.0,"50,50",,Length constraint vi...,0.0,"50,50",,Length constraint vi...,0.0,"50,50",,Length constraint vi...,0.0,100,,Length constraint vi...,50.0,100,,Length constraint vi...,50.0,,4.46,0.0,0.0,False
309,spider-soccer_2-0032.txt,100,,Length constraint vi...,50.0,100,,Length constraint vi...,50.0,100,,Length constraint vi...,50.0,100,,Length constraint vi...,50.0,"50,50",,Length constraint vi...,0.0,100,,Length constraint vi...,50.0,100,,Length constraint vi...,50.0,"50,50",,Length constraint vi...,0.0,100,,Length constraint vi...,50.0,100,,Length constraint vi...,50.0,100,,Length constraint vi...,50.0,100,,Length constraint vi...,50.0,100,,Length constraint vi...,50.0,100,,Length constraint vi...,50.0,100,,Length constraint vi...,50.0,"50,50",,Length constraint vi...,0.0,,5.43,4.0,0.0,False
310,spider-soccer_2-0032.txt,"50,50",,Length constraint vi...,0.0,"50,50",,Length constraint vi...,0.0,"50,50",,Length constraint vi...,0.0,100,,Length constraint vi...,50.0,"50,50",,Length constraint vi...,0.0,"50,50",,Length constraint vi...,0.0,"50,50",,Length constraint vi...,0.0,100,,Length constraint vi...,50.0,"50,50",,Length constraint vi...,0.0,"50,50",,Length constraint vi...,0.0,100,,Length constraint vi...,50.0,"50,50",,Length constraint vi...,0.0,100,,Length constraint vi...,50.0,"50,50",,Length constraint vi...,0.0,100,,Length constraint vi...,50.0,100,,Length constraint vi...,50.0,,4.75,0.0,0.0,False
311,spider-soccer_2-0032.txt,100,,Length constraint vi...,50.0,100,,Length constraint vi...,50.0,100,,Length constraint vi...,50.0,100,,Length constraint vi...,50.0,100,,Length constraint vi...,50.0,100,,Length constraint vi...,50.0,100,,Length constraint vi...,50.0,100,,Length constraint vi...,50.0,100,,Length constraint vi...,50.0,100,,Length constraint vi...,50.0,100,,Length constraint vi...,50.0,100,,Length constraint vi...,50.0,100,,Length constraint vi...,50.0,100,,Length constraint vi...,50.0,100,,Length constraint vi...,50.0,100,,Length constraint vi...,50.0,,5.51,0.0,50.0,False
312,spider-soccer_2-0032.txt,100,,Length constraint vi...,50.0,"50,50",,Length constraint vi...,0.0,100,,Length constraint vi...,50.0,"50,50",,Length constraint vi...,0.0,100,,Length constraint vi...,50.0,100,,Length constraint vi...,50.0,"50,50",,Length constraint vi...,0.0,100,,Length constraint vi...,50.0,"50,50",,Length constraint vi...,0.0,100,,Length constraint vi...,50.0,"50,50",,Length constraint vi...,0.0,100,,Length constraint vi...,50.0,"50,50",,Length constraint vi...,0.0,"50,50",,Length constraint vi...,0.0,100,,Length constraint vi...,50.0,100,,Length constraint vi...,50.0,,4.8,1.0,0.0,False
313,spider-soccer_2-0032.txt,"50,50",,Length constraint vi...,0.0,"50,50",,Length constraint vi...,0.0,"50,50",,Length constraint vi...,0.0,"50,50",,Length constraint vi...,0.0,100,,Length constraint vi...,50.0,100,,Length constraint vi...,50.0,100,,Length constraint vi...,50.0,"50,50",,Length constraint vi...,0.0,"50,50",,Length constraint vi...,0.0,100,,Length constraint vi...,50.0,100,,Length constraint vi...,50.0,"50,50",,Length constraint vi...,0.0,"50,50",,Length constraint vi...,0.0,100,,Length constraint vi...,50.0,"50,50",,Length constraint vi...,0.0,"50,50",,Length constraint vi...,0.0,,4.87,0.0,0.0,False
314,spider-soccer_2-0032.txt,100,,Length constraint vi...,50.0,100,,Length constraint vi...,50.0,"50,50",,Length constraint vi...,0.0,"50,50",,Length constraint vi...,0.0,"50,50",,Length constraint vi...,0.0,100,,Length constraint vi...,50.0,100,,Length constraint vi...,50.0,100,,Length constraint vi...,50.0,"50,50",,Length constraint vi...,0.0,100,,Length constraint vi...,50.0,100,,Length constraint vi...,50.0,100,,Length constraint vi...,50.0,100,,Length constraint vi...,50.0,"50,50",,Length constraint vi...,0.0,"50,50",,Length constraint vi...,0.0,100,,Length constraint vi...,50.0,,4.86,2.0,0.0,False
315,spider-soccer_2-0032.txt,"50,50",,Length constraint vi...,0.0,"50,50",,Length constraint vi...,0.0,"50,50",,Length constraint vi...,0.0,100,,Length constraint vi...,50.0,"50,50",,Length constraint vi...,0.0,100,,Length constraint vi...,50.0,"50,50",,Length constraint vi...,0.0,100,,Length constraint vi...,50.0,100,,Length constraint vi...,50.0,100,,Length constraint vi...,50.0,"50,50",,Length constraint vi...,0.0,"50,50",,Length constraint vi...,0.0,100,,Length constraint vi...,50.0,100,,Length constraint vi...,50.0,100,,Length constraint vi...,50.0,"50,50",,Length constraint vi...,0.0,,5.36,0.0,0.0,False
316,spider-soccer_2-0032.txt,"50,50",,Length constraint vi...,0.0,100,,Length constraint vi...,50.0,"50,50",,Length constraint vi...,0.0,100,,Length constraint vi...,50.0,100,,Length constraint vi...,50.0,100,,Length constraint vi...,50.0,100,,Length constraint vi...,50.0,100,,Length constraint vi...,50.0,100,,Length constraint vi...,50.0,100,,Length constraint vi...,50.0,"50,50",,Length constraint vi...,0.0,"50,50",,Length constraint vi...,0.0,100,,Length constraint vi...,50.0,100,,Length constraint vi...,50.0,100,,Length constraint vi...,50.0,100,,Length constraint vi...,50.0,,5.29,0.0,0.0,False
317,spider-soccer_2-0032.txt,"50,50",,Length constraint vi...,0.0,100,,Length constraint vi...,50.0,"50,50",,Length constraint vi...,0.0,"50,50",,Length constraint vi...,0.0,100,,Length constraint vi...,50.0,100,,Length constraint vi...,50.0,"50,50",,Length constraint vi...,0.0,"50,50",,Length constraint vi...,0.0,"50,50",,Length constraint vi...,0.0,100,,Length constraint vi...,50.0,100,,Length constraint vi...,50.0,100,,Length constraint vi...,50.0,100,,Length constraint vi...,50.0,"50,50",,Length constraint vi...,0.0,100,,Length constraint vi...,50.0,"50,50",,Length constraint vi...,0.0,,8.06,0.0,0.0,False
318,spider-soccer_2-0032.txt,"50,50",,Length constraint vi...,0.0,100,,Length constraint vi...,50.0,100,,Length constraint vi...,50.0,"50,50",,Length constraint vi...,0.0,100,,Length constraint vi...,50.0,100,,Length constraint vi...,50.0,100,,Length constraint vi...,50.0,100,,Length constraint vi...,50.0,"50,50",,Length constraint vi...,0.0,100,,Length constraint vi...,50.0,100,,Length constraint vi...,50.0,"50,50",,Length constraint vi...,0.0,"50,50",,Length constraint vi...,0.0,100,,Length constraint vi...,50.0,"50,50",,Length constraint vi...,0.0,100,,Length constraint vi...,50.0,,6.72,0.0,0.0,False
319,spider-soccer_2-0032.txt,"50,50",,Length constraint vi...,0.0,"50,50",,Length constraint vi...,0.0,"50,50",,Length constraint vi...,0.0,"50,50",,Length constraint vi...,0.0,"50,50",,Length constraint vi...,0.0,"50,50",,Length constraint vi...,0.0,100,,Length constraint vi...,50.0,"50,50",,Length constraint vi...,0.0,"50,50",,Length constraint vi...,0.0,100,,Length constraint vi...,50.0,"50,50",,Length constraint vi...,0.0,100,,Length constraint vi...,50.0,"50,50",,Length constraint vi...,0.0,100,,Length constraint vi...,50.0,100,,Length constraint vi...,50.0,100,,Length constraint vi...,50.0,,6.34,0.0,0.0,False
320,spider-soccer_2-0032.txt,100,,Length constraint vi...,50.0,"50,50",,Length constraint vi...,0.0,"50,50",,Length constraint vi...,0.0,100,,Length constraint vi...,50.0,"50,50",,Length constraint vi...,0.0,100,,Valid,50.0,"50,50",,Length constraint vi...,0.0,"50,50",,Length constraint vi...,0.0,"50,50",,Length constraint vi...,0.0,"50,50",,Length constraint vi...,0.0,"50,50",,Length constraint vi...,0.0,100,,Length constraint vi...,50.0,"50,50",,Length constraint vi...,0.0,"50,50",,Length constraint vi...,0.0,"50,50",,Length constraint vi...,0.0,"50,50",,Length constraint vi...,0.0,,5.63,1.0,0.0,False
321,spider_bak-college_3-0030.txt,100,,Length constraint vi...,50.0,100,,Length constraint vi...,50.0,100,,Length constraint vi...,50.0,100,,Length constraint vi...,50.0,100,,Length constraint vi...,50.0,"50,50",,Length constraint vi...,0.0,100,,Length constraint vi...,50.0,100,,Length constraint vi...,50.0,100,,Length constraint vi...,50.0,100,,Length constraint vi...,50.0,100,,Length constraint vi...,50.0,100,,Length constraint vi...,50.0,100,,Length constraint vi...,50.0,100,,Length constraint vi...,50.0,100,,Length constraint vi...,50.0,"50,50",,Length constraint vi...,0.0,,5.67,5.0,0.0,False
322,db2csv-battle_death-0008_dev.txt,"50,50",,Valid,0.0,"50,50",,Valid,0.0,"50,50",,Valid,0.0,"50,50",,Valid,0.0,"50,50",,Valid,0.0,"50,50",,Valid,0.0,"50,50",,Valid,0.0,"50,50",,Valid,0.0,"50,50",,Valid,0.0,"50,50",,Valid,0.0,"50,50",,Valid,0.0,"50,50",,Valid,0.0,"50,50",,Valid,0.0,"50,50",,Valid,0.0,"50,50",,Valid,0.0,"50,50",,Valid,0.0,,5.88,0.0,0.0,True
323,db2csv-battle_death-0008_dev.txt,100,,Valid,50.0,100,,Valid,50.0,100,,Valid,50.0,100,,Valid,50.0,100,,Valid,50.0,100,,Valid,50.0,100,,Valid,50.0,100,,Valid,50.0,100,,Valid,50.0,100,,Valid,50.0,100,,Valid,50.0,100,,Valid,50.0,100,,Valid,50.0,100,,Valid,50.0,100,,Valid,50.0,100,,Valid,50.0,,5.42,0.0,50.0,False
324,db2csv-battle_death-0008_dev.txt,"50,50",,Valid,0.0,"50,50",,Valid,0.0,"50,50",,Valid,0.0,"50,50",,Valid,0.0,"50,50",,Valid,0.0,"50,50",,Valid,0.0,"50,50",,Valid,0.0,"50,50",,Valid,0.0,"50,50",,Valid,0.0,"50,50",,Valid,0.0,"50,50",,Valid,0.0,"50,50",,Valid,0.0,"50,50",,Valid,0.0,"50,50",,Valid,0.0,"50,50",,Valid,0.0,"50,50",,Valid,0.0,,4.7,0.0,0.0,True
325,spider_bak-loan_1-0013.txt,100,,Length constraint vi...,50.0,100,,Length constraint vi...,50.0,100,,Length constraint vi...,50.0,100,,Length constraint vi...,50.0,100,,Length constraint vi...,50.0,100,,Length constraint vi...,50.0,100,,Length constraint vi...,50.0,100,,Length constraint vi...,50.0,100,,Length constraint vi...,50.0,100,,Length constraint vi...,50.0,100,,Length constraint vi...,50.0,100,,Length constraint vi...,50.0,100,,Length constraint vi...,50.0,100,,Length constraint vi...,50.0,100,,Length constraint vi...,50.0,100,,Length constraint vi...,50.0,,3.57,0.0,50.0,False
326,spider_bak-gymnast-0006.txt,"50,50",,Valid,0.0,"50,50",,Valid,0.0,"50,50",,Valid,0.0,"50,50",,Valid,0.0,"50,50",,Valid,0.0,"50,50",,Valid,0.0,"50,50",,Valid,0.0,"50,50",,Valid,0.0,"50,50",,Valid,0.0,"50,50",,Valid,0.0,"50,50",,Valid,0.0,"50,50",,Valid,0.0,"50,50",,Valid,0.0,"50,50",,Valid,0.0,"50,50",,Valid,0.0,"50,50",,Valid,0.0,,3.78,0.0,0.0,True
327,spider-college_1-0055.txt,100,,Length constraint vi...,50.0,100,,Length constraint vi...,50.0,100,,Length constraint vi...,50.0,100,,Length constraint vi...,50.0,100,,Length constraint vi...,50.0,100,,Length constraint vi...,50.0,100,,Length constraint vi...,50.0,100,,Length constraint vi...,50.0,100,,Length constraint vi...,50.0,100,,Length constraint vi...,50.0,100,,Length constraint vi...,50.0,100,,Length constraint vi...,50.0,100,,Length constraint vi...,50.0,100,,Length constraint vi...,50.0,100,,Length constraint vi...,50.0,100,,Length constraint vi...,50.0,,5.5,0.0,50.0,False
328,spider_bak-customers_and_addresses-0026.txt,100,,Length constraint vi...,50.0,100,,Length constraint vi...,50.0,100,,Length constraint vi...,50.0,100,,Length constraint vi...,50.0,100,,Length constraint vi...,50.0,100,,Length constraint vi...,50.0,100,,Length constraint vi...,50.0,100,,Length constraint vi...,50.0,100,,Length constraint vi...,50.0,100,,Length constraint vi...,50.0,100,,Length constraint vi...,50.0,100,,Length constraint vi...,50.0,100,,Length constraint vi...,50.0,100,,Length constraint vi...,50.0,100,,Length constraint vi...,50.0,100,,Length constraint vi...,50.0,,5.49,0.0,50.0,False
329,spider_bak-soccer_2-0031.txt,"50,40,10",,Length constraint vi...,23.80476142847617,100,,Length constraint vi...,50.0,"50,40,10",,Length constraint vi...,23.80476142847617,100,,Length constraint vi...,50.0,100,,Length constraint vi...,50.0,"50,40,10",,Length constraint vi...,23.80476142847617,"50,50",,Length constraint vi...,0.0,"50,50",,Length constraint vi...,0.0,"50,40,10",,Length constraint vi...,23.80476142847617,"50,50",,Length constraint vi...,0.0,"50,50",,Length constraint vi...,0.0,100,,Length constraint vi...,50.0,100,,Length constraint vi...,50.0,"50,50",,Length constraint vi...,0.0,100,,Length constraint vi...,50.0,100,,Length constraint vi...,50.0,,4.12,6.0,0.0,False
330,spider-gas_company-0019.txt,100,,Valid,50.0,100,,Valid,50.0,100,,Valid,50.0,100,,Valid,50.0,100,,Valid,50.0,100,,Valid,50.0,100,,Valid,50.0,100,,Valid,50.0,100,,Valid,50.0,"50,50",,Valid,0.0,100,,Valid,50.0,"50,50",,Valid,0.0,"50,50",,Valid,0.0,100,,Valid,50.0,100,,Valid,50.0,100,,Valid,50.0,,5.23,9.0,0.0,True
331,spider-gas_company-0019.txt,"50,50",,Valid,0.0,"50,50",,Valid,0.0,"50,50",,Valid,0.0,"50,50",,Valid,0.0,"50,50",,Valid,0.0,"50,50",,Valid,0.0,"50,50",,Valid,0.0,"50,50",,Valid,0.0,"50,50",,Valid,0.0,"50,50",,Valid,0.0,"50,50",,Valid,0.0,"50,50",,Valid,0.0,"50,50",,Valid,0.0,"50,50",,Valid,0.0,"50,50",,Valid,0.0,"50,50",,Valid,0.0,,5.22,0.0,0.0,True
332,spider-gas_company-0019.txt,"50,50",,Valid,0.0,"50,50",,Valid,0.0,"50,50",,Valid,0.0,"50,50",,Valid,0.0,"50,50",,Valid,0.0,"50,50",,Valid,0.0,"50,50",,Valid,0.0,"50,50",,Valid,0.0,"50,50",,Valid,0.0,"50,50",,Valid,0.0,"50,50",,Valid,0.0,"50,50",,Valid,0.0,"50,50",,Valid,0.0,"50,50",,Valid,0.0,"50,50",,Valid,0.0,"50,50",,Valid,0.0,,4.75,0.0,0.0,True
333,spider-gas_company-0019.txt,"50,50",,Valid,0.0,"50,50",,Valid,0.0,"50,50",,Valid,0.0,"50,50",,Valid,0.0,"50,50",,Valid,0.0,"50,50",,Valid,0.0,"50,50",,Valid,0.0,"50,50",,Valid,0.0,"50,50",,Valid,0.0,"50,50",,Valid,0.0,"50,50",,Valid,0.0,"50,50",,Valid,0.0,"50,50",,Valid,0.0,"50,50",,Valid,0.0,"50,50",,Valid,0.0,"50,50",,Valid,0.0,,4.29,0.0,0.0,True
